DISTINCT SPP LIST,Month,119 2011   ,E3 2011   ,101 2011   ,100 2011   ,108 2011   ,106 2011   ,94 2011   ,102 2011   ,93 2011   ,84 2011   ,55 2011   ,104 2011   ,77 2011   ,89 2011   ,78 2011   ,75 2011   ,76 2011   ,79 2011   ,91 2011   ,73 2011   ,90 2011   ,86 2011   ,f5 2011   ,f4 2011   ,72 2011   ,99 2011   ,71 2011   ,70 2011   ,new2 2011   ,107 2011   ,74 2011   ,112 2011   ,106 2012   ,94 2012   ,104 2012   ,70 2012   ,71 2012   ,119 2012   ,E3 2012   ,f4 2012   ,f5 2012   ,107 2012   ,New2 2012   ,99 2012   ,86 2012   ,89 2012   ,99 2013   ,89 2013   ,F4 2013   ,New2 2013   ,F5 2013   ,119 2013   ,E3 2013   ,108 2013    ,102 2013   ,107 2013   ,90 2013   ,84 2013   ,94 2013   ,78 2013   ,73 2013   ,71 2013   ,71 2014   ,73 2014   ,78 2014   ,84 2014   ,89 2014   ,90 2014   ,94 2014   ,99 2014   ,102 2014   ,107 2014   ,108 2014   ,119 2014   ,E3 2014   ,F4 2014   ,F5 2014   ,New2 2014   ,108 2015   ,73 2015   ,78 2015   ,89 2015   ,90 2015   ,94 2015   ,102 2015   ,71 2015   ,107 2015   ,E3 2015   ,119 2015   ,99 2015   ,F5 2015   ,F4 2015   ,new2 2015   ,84 2015   
saucereye porgy,December,,,,,,,,,,,1,,1,2,,6,6,,,1,,,,,,,,,1,,,,,4,1,,5,1,3,,16,,2,2,,,4,,,,3,,,,5,2,4,1,4,,8,,15,30,16,,,11,13,,,,,,,3,,,,,10,1,,,,,,,,,,13,,51
schoolmaster snapper,December,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,3,,,,,,,3,,,,,,
scrawled cowfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
sergeant major,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharknose goby,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnose pufferfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheepshead porgy,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortfin pipefish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silversides,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slippery dick,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spadefish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
spanish hogfish,December,,,,,,,,,,1,,,,,,,,,,,2,,,,,,1,1,,,2,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiney lobster,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotfin butterflyfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted drum,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted goatfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
spotted moray eel,December,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
squirrelfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
stonecrab ,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoplight parrotfish,December,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped parrotfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunshinefish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan hamlet,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threespot damselfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toby sharpnose,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomtate grunt,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
white grunt,December,,,46,1,3,1,,45,55,,,35,16,1,70,,10,,1,2,16,11,27,,61,17,,22,,15,35,20,20,,23,41,5,,47,,18,60,10,,,35,,20,4,5,12,,40,,2,,3,2,2,1,1,15,,,,,30,2,1,,,,,,,,,30,,2,,20,20,,10,,,,,1,2,2,,13
white margate,December,6,,8,,1,,2,5,1,19,41,17,2,,2,,,,31,7,9,18,5,12,25,7,7,19,10,13,54,,4,2,20,17,36,3,1,,7,20,19,,1,50,37,8,,,16,5,,1,26,3,,44,64,66,13,28,,,16,,,6,14,3,25,8,,,,,6,,11,18,17,11,2,30,1,,11,,,21,11,4,22,29
yellow goatfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,
yellow jack,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,1,,,,1,4,,,,,,2,1,,,,,,,,,,,,,,20,,,,,,,,,,,
yellow jawfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow stingray,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,2,2,,1,,,3,,,,,,,1,,,,1,,,1,1,,,,2,,,1,,,,,2,,,,,,,,,,,,,,,,,
yellowfin grouper,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowhead jawfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowhead wrasse,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail damselfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail goatfish,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail snapper,December,,2,9,3,,10,,,,,1,7,3,1,12,3,2,,,4,4,,,11,1,,,,2,,49,,6,,,,4,,1,,12,,2,,,2,,,,1,3,,,,3,,3,3,3,2,1,1,,,2,,,,23,3,,,,,2,1,,,,23,,1,,4,,,,2,,,,1,1,51
