Transect,ComName,Freq,TL
26,Dusky damselfish,1,5
26,Nassau grouper,1,36
26,Bluehead wrasse,1,9
26,Bluehead wrasse,1,12
26,White grunt,3,16
26,4-eye butterflyfish,1,6
26,Redband parrotfish,1,10
27,Bluehead wrasse,2,8
27,Bluehead wrasse,2,12
27,Bluehead wrasse,11,7
27,Bluehead wrasse,3,5
27,Yellowhead wrasse,3,5
27,Striped parrotfish,1,2
27,Striped parrotfish,1,5
27,Threespot damselfish,1,6
27,Threespot damselfish,1,4
27,Blue tang,1,20
27,Blue tang,1,2
27,White grunt,6,22
27,Longfin damsel,2,7
27,Bluestriped grunt,1,24
27,Dusky damselfish,3,6
27,Sharpnose pufferfish,1,4
28,Beaugregory,1,3
28,Bluehead wrasse,1,3
28,Bluehead wrasse,4,4
28,Bluehead wrasse,1,2
28,Bluehead wrasse,1,7
28,Bluehead wrasse,2,6
28,Cocoa damselfish,2,4
28,Cocoa damselfish,1,5
28,Bluestriped grunt,1,8
28,White grunt,4,6
28,White grunt,1,8
30,Slippery dick,1,6
30,Slippery dick,3,8
31,White grunt,1,15
31,Bluehead wrasse,1,6
31,Bluehead wrasse,1,3
31,Redband parrotfish,2,6
31,Redband parrotfish,1,4
31,Redband parrotfish,1,5
31,Grey angelfish,1,15
31,Striped parrotfish,1,4
31,Striped parrotfish,2,6
31,Striped parrotfish,3,2
31,Striped parrotfish,1,3
31,Striped parrotfish,1,5
31,Bicolour damselfish,1,3
31,Bicolour damselfish,1,4
31,Bicolour damselfish,1,5
31,Yellowhead wrasse,1,6
31,Yellowhead wrasse,1,5
31,Yellowhead wrasse,2,4
31,Stoplight parrotfish,1,4
31,Stoplight parrotfish,1,6
31,Sharpnose pufferfish,1,4
31,Princess parrotfish,1,2
31,Lionfish,1,20
31,Bluestriped grunt,1,12
31,Cocoa damselfish,1,4
31,Queen angelfish,1,7
32,Sharpnose pufferfish,2,4
32,Sharpnose pufferfish,1,3
32,Bluehead wrasse,1,4
32,Bluehead wrasse,1,7
33,Striped parrotfish,8,5
33,Striped parrotfish,3,6
33,Striped parrotfish,2,2
33,Slippery dick,1,4
33,Slippery dick,5,3
33,Yellowhead wrasse,1,5
33,Yellowhead wrasse,3,7
33,Redband parrotfish,1,3
33,Redband parrotfish,1,6
33,Bluehead wrasse,1,9
33,Bluehead wrasse,1,7
33,Stoplight parrotfish,1,6
33,Sharpnose pufferfish,1,5
33,Cocoa damselfish,1,3
34,Bluehead wrasse,1,12
34,Bluehead wrasse,2,7
34,Blue tang,1,6
34,Doctorfish,1,9
34,Longfin damsel,1,8
34,Longfin damsel,1,9
34,Yellowhead wrasse,1,5
34,Striped parrotfish,1,8
34,Longspine squirrelfish,1,14
34,Bicolour damselfish,1,4
34,Puddingwife,1,8
34,Sharpnose pufferfish,1,5
34,Lionfish,1,26
35,Slippery dick,1,7
37,Bluehead wrasse,1,12
37,Bluehead wrasse,1,14
37,Sharpnose pufferfish,1,6
37,Sharpnose pufferfish,1,8
37,Yellow ray,1,22
37,Stoplight parrotfish,1,2
37,Yellowhead wrasse,2,4
37,Redband parrotfish,1,2
37,Threespot damselfish,1,4
37,Blue tang,1,16
37,Dusky damselfish,1,6
38,Bluehead wrasse,1,7
38,Bluehead wrasse,2,12
38,Bluehead wrasse,1,5
38,Bluehead wrasse,1,10
38,Blue chromis,1,2
38,Fairy basslet,1,6
38,Grey angelfish,2,24
38,Striped parrotfish,1,10
38,Yellow ray,1,20
38,Puddingwife,1,9
39,Cocoa damselfish,2,4
39,Bluehead wrasse,2,4
39,Bluehead wrasse,2,6
39,Bluehead wrasse,1,7
39,Dusky damselfish,2,4
39,Dusky damselfish,1,3
39,4-eye butterflyfish,1,3
39,Yellowhead wrasse,2,4
39,Yellowhead wrasse,1,3
39,Redband parrotfish,1,7
39,Stoplight parrotfish,1,18
40,Slippery dick,1,4
42,Slippery dick,1,3
42,Slippery dick,1,4
42,Slippery dick,1,12
42,Yellowhead wrasse,1,6
42,Yellowhead wrasse,1,5
42,Yellowhead wrasse,1,10
42,Bluehead wrasse,1,7
42,Stoplight parrotfish,2,4
42,Puddingwife,1,9
42,Yellow ray,1,18
42,Beaugregory,1,5
43,Bluehead wrasse,1,8
43,Bluehead wrasse,1,7
43,Yellowhead wrasse,1,7
43,Yellowhead wrasse,2,4
43,Yellowhead wrasse,3,7
43,Yellow ray,1,20
43,Spotted moray,1,30
43,Nassau grouper,1,26
44,Yellowhead wrasse,1,7
44,Yellowhead wrasse,2,5
44,Yellowhead wrasse,1,4
44,Puddingwife,1,4
44,Redband parrotfish,1,5
44,Redband parrotfish,1,6
44,Stoplight parrotfish,1,5
44,Stoplight parrotfish,1,4
44,Yellow ray,1,30
44,Yellow ray,1,28
44,Sharpnose pufferfish,1,8
44,Threespot damselfish,1,4
44,Clown wrasse,2,4
44,Clown wrasse,1,5
44,Clown wrasse,1,6
46,Porgy,1,10
47,Bluehead wrasse,1,12
47,Bluehead wrasse,1,9
47,Yellowhead wrasse,3,5
47,Yellowhead wrasse,1,9
47,Stoplight parrotfish,1,6
47,Stoplight parrotfish,1,5
47,Striped parrotfish,2,9
48,4-eye butterflyfish,1,5
48,Cleaner goby,1,2
48,Sharpnose pufferfish,1,5
48,White grunt,6,15
48,Stoplight parrotfish,1,6
48,Stoplight parrotfish,1,9
48,Puddingwife,1,7
48,Bluehead wrasse,2,10
48,Bluehead wrasse,2,11
48,Cocoa damselfish,1,7
48,Yellowhead wrasse,1,11
48,Yellowhead wrasse,1,7
49,White grunt,1,15
49,White grunt,10,20
49,White grunt,6,30
49,Bluehead wrasse,1,7
49,Bluehead wrasse,1,4
49,Bluehead wrasse,1,6
49,Bluehead wrasse,1,1
49,Queen angelfish,1,7
49,Queen angelfish,1,10
49,Juvenile grunt,2,4
49,Juvenile grunt,1,6
49,Tomtate,150,4
49,Lionfish,1,10
49,Lionfish,1,25
49,Bluestriped grunt,1,30
49,Cocoa damselfish,2,6
49,Cocoa damselfish,1,8
49,Threespot damselfish,1,4
49,Stoplight parrotfish,4,5
49,Puddingwife,1,7
49,Blue tang,1,30
